config,fitness,distance,datapoints,eval_id
"[0, 0, 0, 1, 1, 0, 3, 1, 5, 3, 1, 1, 0, 0]",0.7311431861934521,3.0,28.0,150.0
"[0, 0, 0, 3, 6, 0, 3, 3, 9, 3, 1, 0, 0, 3]",0.7780974599297831,5.0,56.0,151.0
"[0, 0, 0, 1, 9, 0, 9, 3, 5, 0, 1, 0, 0, 0]",0.7988958429112081,8.0,28.0,152.0
"[0, 0, 6, 1, 8, 0, 3, 2, 5, 3, 1, 0, 0, 2]",0.736688530740884,7.0,58.0,153.0
"[0, 0, 7, 5, 1, 0, 2, 8, 5, 3, 1, 0, 0, 3]",0.6914608519242631,7.0,68.0,154.0
"[0, 0, 4, 6, 1, 0, 3, 3, 5, 3, 1, 0, 0, 3]",0.7127654151394871,5.0,77.0,155.0
"[0, 0, 0, 1, 1, 0, 3, 1, 7, 6, 1, 0, 3, 3]",0.740387126100847,3.0,55.0,156.0
"[0, 0, 0, 1, 1, 0, 3, 8, 7, 5, 1, 0, 1, 3]",0.7908621885160331,5.0,40.0,157.0
"[0, 0, 4, 1, 3, 0, 3, 3, 5, 3, 1, 0, 3, 0]",0.691574845480131,4.0,46.0,158.0
"[0, 0, 3, 1, 9, 0, 3, 8, 5, 3, 1, 0, 1, 3]",0.7011493217044631,8.0,33.0,159.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 3, 1, 0, 3, 0]",0.7848382471839861,3.0,38.0,160.0
"[0, 0, 2, 1, 1, 0, 3, 7, 2, 3, 1, 0, 0, 1]",0.6723633209455561,4.0,33.0,161.0
"[0, 0, 0, 8, 8, 0, 4, 10, 5, 3, 1, 0, 0, 3]",0.7800230020176151,7.0,33.0,162.0
"[0, 0, 0, 0, 0, 0, 3, 3, 7, 4, 1, 0, 0, 3]",0.6192698156774781,2.0,20.0,163.0
"[0, 0, 0, 1, 5, 0, 3, 1, 0, 3, 3, 0, 0, 3]",0.574291819647407,5.0,8.0,164.0
"[0, 0, 2, 1, 4, 0, 3, 3, 3, 3, 1, 0, 3, 3]",0.64201213544636,3.0,24.0,165.0
"[0, 0, 0, 1, 1, 0, 3, 7, 5, 3, 2, 0, 1, 3]",0.783915720529145,4.0,35.0,166.0
"[0, 0, 4, 7, 1, 0, 3, 3, 7, 3, 1, 0, 2, 3]",0.6832821763601751,6.0,112.0,167.0
"[0, 0, 0, 9, 1, 0, 3, 3, 5, 3, 1, 2, 0, 4]",0.6201864573980721,8.0,14.0,168.0
"[0, 0, 0, 1, 8, 0, 3, 5, 5, 0, 1, 0, 0, 3]",0.665215187584652,7.0,10.0,169.0
"[0, 0, 0, 1, 6, 0, 3, 4, 5, 5, 1, 0, 2, 3]",0.760519774768128,5.0,37.0,170.0
"[0, 0, 0, 1, 5, 0, 3, 5, 5, 5, 1, 0, 2, 3]",0.7750514579151551,4.0,37.0,171.0
"[0, 0, 0, 1, 5, 0, 3, 7, 5, 6, 1, 1, 0, 3]",0.764166767717471,4.0,36.0,172.0
"[0, 0, 0, 1, 1, 0, 3, 5, 6, 3, 2, 1, 0, 3]",0.711291739380837,2.0,25.0,173.0
"[0, 0, 7, 6, 9, 0, 3, 3, 5, 3, 1, 0, 0, 0]",0.7515427122149501,8.0,57.0,174.0
"[0, 0, 0, 1, 1, 0, 3, 6, 5, 3, 1, 2, 3, 2]",0.670960060467635,3.0,16.0,175.0
"[0, 0, 6, 6, 1, 0, 3, 7, 5, 3, 1, 0, 0, 3]",0.6944572516200841,6.0,74.0,176.0
"[0, 0, 0, 1, 1, 0, 3, 7, 5, 3, 1, 0, 0, 3]",0.7774745097669271,4.0,32.0,177.0
"[0, 0, 5, 1, 2, 0, 3, 3, 5, 5, 1, 0, 0, 3]",0.727871602618505,5.0,57.0,178.0
"[0, 0, 0, 1, 1, 0, 5, 7, 5, 3, 1, 0, 2, 2]",0.7943648008874561,4.0,37.0,179.0
"[0, 0, 1, 4, 1, 0, 3, 1, 5, 3, 3, 0, 0, 3]",0.6729203077937881,3.0,56.0,180.0
"[0, 0, 1, 1, 0, 0, 3, 0, 5, 8, 1, 0, 0, 3]",0.6192698156774781,5.0,18.0,181.0
"[0, 0, 0, 1, 1, 0, 4, 10, 5, 3, 2, 0, 0, 3]",0.7691492139566091,7.0,32.0,182.0
"[0, 0, 0, 9, 1, 0, 3, 3, 5, 1, 1, 0, 0, 5]",0.7485318893039671,8.0,27.0,183.0
"[0, 0, 1, 1, 1, 0, 3, 3, 5, 3, 1, 0, 3, 3]",0.72378088308897,3.0,53.0,184.0
"[0, 0, 0, 5, 1, 0, 3, 3, 5, 3, 2, 0, 3, 3]",0.75911315712112,4.0,42.0,185.0
"[0, 0, 0, 9, 1, 0, 2, 3, 3, 3, 1, 0, 0, 9]",0.7370951535979791,8.0,28.0,186.0
"[0, 0, 1, 1, 1, 0, 3, 3, 5, 2, 1, 0, 0, 7]",0.7233233438278981,4.0,51.0,187.0
"[0, 0, 0, 0, 1, 0, 4, 3, 5, 3, 1, 0, 0, 8]",0.7812439831992021,5.0,40.0,188.0
"[0, 0, 6, 1, 3, 0, 3, 2, 5, 3, 1, 0, 0, 3]",0.7110917527117351,6.0,55.0,189.0
"[0, 0, 0, 1, 3, 0, 3, 3, 2, 3, 0, 0, 0, 3]",0.7362725806082021,3.0,20.0,190.0
"[0, 0, 3, 1, 8, 0, 3, 3, 5, 3, 1, 0, 0, 0]",0.6962508355582071,7.0,34.0,191.0
"[0, 0, 0, 1, 2, 0, 6, 3, 1, 3, 1, 0, 2, 3]",0.681505378478373,4.0,16.0,192.0
"[0, 0, 9, 1, 1, 0, 3, 3, 3, 10, 1, 0, 0, 3]",0.68893949597487,9.0,52.0,193.0
"[0, 0, 6, 1, 1, 0, 3, 3, 5, 3, 1, 2, 0, 4]",0.663242051907409,6.0,104.0,194.0
"[0, 0, 4, 4, 5, 0, 3, 3, 5, 3, 1, 1, 0, 3]",0.631054243952461,4.0,52.0,195.0
"[0, 0, 0, 1, 7, 0, 9, 3, 5, 3, 1, 0, 2, 3]",0.7730669675715921,6.0,41.0,196.0
"[0, 0, 0, 1, 1, 0, 6, 3, 5, 7, 1, 2, 3, 3]",0.7612543015284551,4.0,46.0,197.0
"[0, 0, 0, 1, 1, 0, 3, 3, 5, 7, 3, 0, 1, 0]",0.7491924031000181,4.0,46.0,198.0
"[0, 0, 0, 9, 1, 0, 3, 6, 5, 3, 1, 0, 1, 0]",0.770723586661741,8.0,34.0,199.0
"[0, 0, 0, 9, 3, 0, 3, 3, 1, 3, 1, 2, 0, 3]",0.617949628239679,8.0,9.0,200.0
"[0, 0, 0, 1, 1, 0, 1, 0, 8, 3, 1, 1, 0, 3]",0.7465389157070941,3.0,18.0,201.0
"[0, 0, 3, 1, 1, 0, 4, 3, 5, 3, 0, 0, 0, 3]",0.7535637625964121,3.0,71.0,202.0
"[0, 0, 0, 1, 1, 0, 5, 3, 5, 2, 0, 0, 2, 2]",0.809890535219238,2.0,34.0,203.0
"[0, 0, 6, 1, 8, 0, 3, 3, 0, 3, 2, 0, 0, 3]",0.616767991802401,7.0,13.0,204.0
"[0, 0, 5, 4, 1, 0, 3, 3, 6, 6, 0, 0, 0, 3]",0.7456428511315231,5.0,75.0,205.0
"[0, 0, 0, 1, 1, 0, 9, 9, 1, 3, 0, 2, 0, 3]",0.6748101429583271,6.0,13.0,206.0
"[0, 0, 0, 0, 1, 0, 3, 3, 5, 3, 1, 2, 2, 3]",0.6767022492086731,2.0,16.0,207.0
"[0, 0, 6, 1, 1, 0, 3, 3, 9, 3, 3, 0, 1, 3]",0.667067054393053,6.0,123.0,208.0
"[0, 0, 0, 3, 1, 0, 1, 7, 5, 3, 1, 2, 0, 1]",0.7434218628446091,4.0,17.0,209.0
"[0, 0, 3, 1, 1, 0, 3, 4, 5, 0, 1, 1, 0, 9]",0.700455632998218,6.0,91.0,210.0
"[0, 0, 0, 9, 1, 0, 0, 3, 0, 9, 1, 2, 0, 3]",0.556241292032976,8.0,5.0,211.0
"[0, 0, 2, 1, 5, 0, 3, 3, 7, 3, 0, 0, 0, 3]",0.7560575341871271,4.0,45.0,212.0
"[0, 0, 0, 1, 9, 0, 3, 10, 1, 7, 1, 0, 0, 6]",0.63879719455265,8.0,15.0,213.0
"[0, 0, 7, 1, 0, 0, 3, 0, 5, 3, 1, 0, 0, 9]",0.6192698156774781,7.0,18.0,214.0
"[0, 0, 0, 1, 9, 0, 3, 3, 4, 3, 2, 0, 1, 3]",0.7438698415528591,8.0,36.0,215.0
